Time resolution is 1 ps
第 66 行数据的第 5 位为 0
第 66 行数据的第 6 位为 0
第 66 行数据的第 7 位为 1
第 67 行数据的第 0 位为 0
第 67 行数据的第 1 位为 0
第 67 行数据的第 2 位为 0
第 67 行数据的第 3 位为 0
第 67 行数据的第 4 位为 0
第 67 行数据的第 5 位为 0
第 67 行数据的第 6 位为 0
第 67 行数据的第 7 位为 0
第 68 行数据的第 0 位为 0
第 68 行数据的第 1 位为 1
第 68 行数据的第 2 位为 1
第 68 行数据的第 3 位为 1
第 68 行数据的第 4 位为 1
第 68 行数据的第 5 位为 1
第 68 行数据的第 6 位为 1
第 68 行数据的第 7 位为 1
第 69 行数据的第 0 位为 0
第 69 行数据的第 1 位为 0
第 69 行数据的第 2 位为 0
第 69 行数据的第 3 位为 0
第 69 行数据的第 4 位为 0
第 69 行数据的第 5 位为 0
第 69 行数据的第 6 位为 0
第 69 行数据的第 7 位为 0
第 70 行数据的第 0 位为 1
第 70 行数据的第 1 位为 0
第 70 行数据的第 2 位为 0
第 70 行数据的第 3 位为 0
第 70 行数据的第 4 位为 0
第 70 行数据的第 5 位为 0
第 70 行数据的第 6 位为 0
第 70 行数据的第 7 位为 1
第 71 行数据的第 0 位为 0
第 71 行数据的第 1 位为 0
第 71 行数据的第 2 位为 0
第 71 行数据的第 3 位为 0
第 71 行数据的第 4 位为 0
第 71 行数据的第 5 位为 0
第 71 行数据的第 6 位为 0
第 71 行数据的第 7 位为 0
第 72 行数据的第 0 位为 0
第 72 行数据的第 1 位为 1
第 72 行数据的第 2 位为 1
第 72 行数据的第 3 位为 1
第 72 行数据的第 4 位为 1
第 72 行数据的第 5 位为 1
第 72 行数据的第 6 位为 1
第 72 行数据的第 7 位为 1
第 73 行数据的第 0 位为 0
第 73 行数据的第 1 位为 0
第 73 行数据的第 2 位为 0
第 73 行数据的第 3 位为 0
第 73 行数据的第 4 位为 0
第 73 行数据的第 5 位为 0
第 73 行数据的第 6 位为 0
第 73 行数据的第 7 位为 0
第 74 行数据的第 0 位为 1
第 74 行数据的第 1 位为 0
第 74 行数据的第 2 位为 0
第 74 行数据的第 3 位为 0
第 74 行数据的第 4 位为 0
第 74 行数据的第 5 位为 0
第 74 行数据的第 6 位为 0
第 74 行数据的第 7 位为 1
第 75 行数据的第 0 位为 0
第 75 行数据的第 1 位为 0
第 75 行数据的第 2 位为 0
第 75 行数据的第 3 位为 0
第 75 行数据的第 4 位为 0
第 75 行数据的第 5 位为 0
第 75 行数据的第 6 位为 0
第 75 行数据的第 7 位为 0
第 76 行数据的第 0 位为 0
第 76 行数据的第 1 位为 1
第 76 行数据的第 2 位为 1
第 76 行数据的第 3 位为 1
第 76 行数据的第 4 位为 1
第 76 行数据的第 5 位为 1
第 76 行数据的第 6 位为 1
第 76 行数据的第 7 位为 1
第 77 行数据的第 0 位为 0
第 77 行数据的第 1 位为 0
第 77 行数据的第 2 位为 0
第 77 行数据的第 3 位为 0
第 77 行数据的第 4 位为 0
第 77 行数据的第 5 位为 0
第 77 行数据的第 6 位为 0
第 77 行数据的第 7 位为 0
第 78 行数据的第 0 位为 1
第 78 行数据的第 1 位为 0
第 78 行数据的第 2 位为 0
第 78 行数据的第 3 位为 0
第 78 行数据的第 4 位为 0
第 78 行数据的第 5 位为 0
第 78 行数据的第 6 位为 0
第 78 行数据的第 7 位为 1
第 79 行数据的第 0 位为 0
第 79 行数据的第 1 位为 0
第 79 行数据的第 2 位为 0
第 79 行数据的第 3 位为 0
第 79 行数据的第 4 位为 0
第 79 行数据的第 5 位为 0
第 79 行数据的第 6 位为 0
第 79 行数据的第 7 位为 0
第 80 行数据的第 0 位为 0
第 80 行数据的第 1 位为 1
第 80 行数据的第 2 位为 1
第 80 行数据的第 3 位为 1
第 80 行数据的第 4 位为 1
第 80 行数据的第 5 位为 1
第 80 行数据的第 6 位为 1
第 80 行数据的第 7 位为 1
第 81 行数据的第 0 位为 0
第 81 行数据的第 1 位为 0
第 81 行数据的第 2 位为 0
第 81 行数据的第 3 位为 0
第 81 行数据的第 4 位为 0
第 81 行数据的第 5 位为 0
第 81 行数据的第 6 位为 0
第 81 行数据的第 7 位为 0
第 82 行数据的第 0 位为 1
第 82 行数据的第 1 位为 0
第 82 行数据的第 2 位为 0
第 82 行数据的第 3 位为 0
第 82 行数据的第 4 位为 0
第 82 行数据的第 5 位为 0
第 82 行数据的第 6 位为 0
第 82 行数据的第 7 位为 1
第 83 行数据的第 0 位为 0
第 83 行数据的第 1 位为 0
第 83 行数据的第 2 位为 0
